descripcion,costo_usd,ef,pa_drovencentro,score
RIDAL COMP REC 1MG X20 MEG,7.01,E.F.36.450,RISPERIDONA 1MG  20COMP,0.000
"RINIFLU SOL ORAL 2,5MG/5ML 60ML BIOTECH",6.15,E.F.43.791,"DESLORATADINA 2,5MG",0.000
ROVARTAL COMP REC 10MG X30 MEG,14.03,E.F.35.905,ROSUVASTATINA 10MG  30COMP,0.000
"ROWELUK COM/MAST 5MG/2,5MG X 10",5.19,E.F.37.201,MONTELUKAST 5MG  30COMP,0.000
"ROWELUK COM/MAST 5MG/2,5MG X 30",11.69,E.F.37.201,MONTELUKAST 5MG  30COMP,0.000
ROWELUK ULTRA COM/REC 10MG/5MG X 10,6.49,E.F.37.202,MONTELUKAST 10MG  30COMP,0.000
RUBIZON TAB REC 20MG X35 COFA,9.48,E.F.43.848,ROSUVASTATINA 20MG,0.000
SAVER COM PVO SUSP 200MG/5ML X 37.5ML,5.95,E.F.38.854,AZITROMICINA 200MG/5ML 37.5ML,0.000
SECNIDAZOL COMP REC 1G X2 GENVEN,5.33,E.F.G.32.717,,0.000
SINUTIL JBE 90ML VIN,5.79,E.F.32.020,ACETAMINOFEN + CLORFENAMINA,0.000
TACHIPIRIN SUP PED 125MG X6 ELM,3.95,E.F.23.819,ACETAMINOFEN 125MG 6SUSP,0.000
TADALAFIL TAB 20MG X1 CLX,0.94,E.F.G.38.493,TADALAFILO 20MG,0.000
TADALAFIL TAB 20MG X2 CLX,1.83,E.F.G.38.493,TADALAFILO 20MG,0.000
TADALAFIL TAB REC 20MG X1 PLX,1.07,E.F.G.38.493,TADALAFILO 20MG,0.000
TALYSTOR TAB MAST 5MG X10 PHARME,3.36,E.F.41.156,TADALAFILO 5MG 10TAB,0.000
TALZIC SOL ORAL PED 1MG/ML 120ML ELM,4.18,E.F.32.457,CETIRIZINA 1MG 120ML,0.000
TEKRON COM/REC 200 MG X 10,17.83,E.F.36.643,SULBUTIAMINA 200MG,0.000
TEKRON COMP REC 200MG X30 LETI,52.78,E.F.36.643,SULBUTIAMINA 200MG,0.000
TENSOMAX LP CAP 30 MG X 30,29.08,E.F.28.561,NIFEDIPINA 30MG,0.000
TERAGRIP FORTE TAB REC 650MG X6,3.00,E.F.44.418,ACETAMINOFEN 650MG+CAFEINA 20MG+CLORFENIRAMINA MELEATO 2MG,0.000
TERAGRIP SUPRA TAB REC 650MG X10 FAR,7.31,E.F.44.418,ACETAMINOFEN 650MG+CAFEINA 20MG+CLORFENIRAMINA MELEATO 2MG,0.000
TERAGRIP TAB 24H 650MG X10+4 TAB FAR,5.73,E.F.44.418,ACETAMINOFEN 650MG+CAFEINA 20MG+CLORFENIRAMINA MELEATO 2MG,0.000
"TOBRASOL SOL OFT 0,3% 5ML L.O",9.62,E.F.24.679,TOBRAMICINA 0.3%,0.000
TODENAC SOL OFT 5ML L.O,18.50,E.F.33.963,TOBRAMICINA/DICLOFENAC SOD,0.000
TORIVAS TAB REC 100MG X30 CLX,18.06,E.F.G.37.698,PINAVERIUM BROMURO 100MG,0.000
TORIVAS TAB REC 50MG X30 CLX,11.71,E.F.41.710,PINAVERIUM BROMURO 50MG,0.000
ULCENOL TAB 20MG X10,2.18,E.F.25.349,FAMOTIDINA 20MG 10TAB,0.000
ULCENOL TAB 40MG X20 ELM,3.39,E.F.25.348,FAMOTIDINA 40MG 20TAB,0.000
VASPITOR COM/REC 20MG X 30,7.53,E.F.43.273,ATORVASTATINA 20MG,0.000
VASPITOR COMP REC 20MG X10 MEG,2.73,E.F.43.273,ATORVASTATINA 20MG,0.000
VECTUS TAB/REC 20MG X 1,1.36,E.F.43.211,TADALAFILO 20MG,0.000
VECTUS TAB/REC 20MG X 2,2.70,E.F.43.211,TADALAFILO 20MG,0.000
VECTUS TAB/REC 5MG X 10,2.66,E.F.43.394,TADALAFILO 5MG,0.000
VECTUS TAB/REC 5MG X 20,5.32,E.F.43.394,TADALAFILO 5MG,0.000
VECTUS TAB/REC 5MG X 30,7.99,E.F.43.394,TADALAFILO 5MG,0.000
VEDINOR COMP REC 600MG X15 VARG,13.10,E.F.G.43.969,DIOSMINA 600MG,0.000
VENACTIN CAP BLD 450MG/50MG X30 CLX,16.99,E.F.G.43.348,DIOSMINA 450MG HESPERIDINA 50MG,0.000
VIASEK COMP REC 50MG X1 LETI,1.25,E.F.32.610,SILDENAFIL 50MG,0.000
VITADYN TAB/MAST FRESA 500MG BLI 10X10,15.60,E.F.31.002,VITAMINA C ACIDO ASCORBICO 500MG,0.000
YONALIN SOL ORAL 4MG/ML PED 15ML BIOT,4.65,E.F.43.770,DEXTROMETORFANO BROMHIDRATO 4MG,0.000
"ZUDENINA CREM TOPICA 0,1% 30G MEG",10.52,E.F.37.539,ADAPALENO.,0.000
"ZUDENINA FORTE GEL TOPICO 0,3% 30G MEG",11.30,E.F.37.539,ADAPALENO.,0.000
"ZUDENINA GEL TOPICO 0,1% 30G MEG",10.91,E.F.37.539,ADAPALENO.,0.000
"ZUDENINA PLUS GEL TOPICO 0,1/1,0%30G MEG",11.82,E.F.37.539,ADAPALENO.,0.000
