proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,GEL ANTIBACT SANOL 230ML,24071,7591138078076,3.25,,,,sin_match,sin_candidato
cobeca,GEL AQUASONIC 100 CLEAR X 0.25L,29533,0855683006081,11.53,,,,sin_match,sin_candidato
cobeca,GEL AQUASONIC 100 ULTRASONIDO X 0.25L,28659,0855683006043,11.7,,,,sin_match,sin_candidato
cobeca,GEL AQUASONIC 100 ULTRASONIDO X 1L,28660,0855683006067,36.83,,,,sin_match,sin_candidato
cobeca,GEL BRUCEN A/ACNE PIEL GRAS 120ML,27368,7592090000389,11.8,,,,sin_match,sin_candidato
cobeca,GEL BRUCEN HYDRO MATT PIEL GRAS 120ML,27793,7592090000402,10.72,,,,sin_match,sin_candidato
cobeca,GEL CALAMINOL PICALIV 16G VITA,99544,7591808525077,4.58,,,,sin_match,sin_candidato
cobeca,GEL COLGATE KIDS FRUTILLA 50G,19586,7891024034095,1.77,,,,sin_match,score_bajo
cobeca,GEL COLGATE PLAX REFRESC/BUCAL 100ML,16468,7591083018547,3.54,,,,sin_match,score_bajo
cobeca,GEL CORP VIBRA NAT FRIO 200G,52623,7593319000043,5.4,,,,sin_match,sin_candidato
cobeca,GEL CREM BIODERMA ATODERM INTEN 200ML,30275,3701129802663,32.6,,,,sin_match,sin_candidato
cobeca,GEL CREM BIODERMA HYDRABIO 40ML,30277,3401329447809,31.88,,,,sin_match,sin_candidato
cobeca,GEL D/BAÑO ALEA NIÑOS 350ML,54355,7599566000225,5.06,,,,sin_match,sin_candidato
cobeca,GEL D/BANO IE GLICERINA 750ML,29057,8411047108079,9.38,,,,sin_match,score_bajo
cobeca,GEL D/BAÑO SPA LINE CHERRY BERRY 200ML,54055,7590041011293,7.2,,,,sin_match,sin_candidato
cobeca,GEL D/BAÑO SPA LINE MANDAR/COCO 200ML,54053,7590041011279,7.2,,,,sin_match,sin_candidato
cobeca,GEL DERNIER AFTER SUN X 160G,28954,7598084000908,7.63,,,,sin_match,sin_candidato
cobeca,GEL DERNIER ARNICA MONTANA GEL 200 ML,15661,7596049000277,2.38,,,,sin_match,sin_candidato
cobeca,GEL DERNIER PURIFIC Y MINIM D/POROS X20G,28497,7598084000847,3.9,,,,sin_match,sin_candidato
cobeca,GEL EXFOL CLARESS 75G,50933,7596811000047,7.1,,,,sin_match,sin_candidato
cobeca,GEL FACIAL HIDRAT AKNFREE 50ML,24625,7592512003783,6.05,,,,sin_match,sin_candidato
cobeca,GEL FACIAL HUMECT BIOS SCRUB 120ML,99211,7595481000043,16.49,,,,sin_match,sin_candidato
cobeca,GEL FACIAL LIMP NIVEA AGUA D/ROSAS 150ML,51750,4005900645289,13.85,,,,sin_match,score_bajo
cobeca,GEL FIJ EVERY NIGHT FOR MEN BLACK 250G,54301,7590005169114,2.74,,,,sin_match,sin_candidato
cobeca,GEL FIJ EVERY NIGHT FOR MEN BLACK 500G,54302,7590005169121,3.56,,,,sin_match,sin_candidato
cobeca,GEL FIJ EVERY NIGHT FRES 100G,19488,7590005168186,1.74,,,,sin_match,sin_candidato
cobeca,GEL FIJ EVERY NIGHT FRES 250G,19492,7590005168223,2.74,,,,sin_match,sin_candidato
cobeca,GEL FIJ EVERY NIGHT FRES 500G,19496,7590005168261,3.56,,,,sin_match,sin_candidato
cobeca,GEL FIJ EVERY NIGHT POW 100G,19490,7590005168209,1.74,,,,sin_match,sin_candidato
